,Unnamed: 0,date,open,high,low,close,volume
1915,2396,2023-05-26 21:09:00+00:00,194.08,194.13,193.84,193.84,28842
1916,2397,2023-05-26 21:10:00+00:00,193.85,193.96,193.85,193.95,2310
1917,2398,2023-05-26 21:11:00+00:00,193.95,193.99,193.9,193.91,6833
1918,2399,2023-05-26 21:12:00+00:00,193.98,193.99,193.91,193.95,4677
1919,2400,2023-05-26 21:13:00+00:00,193.95,194.17,193.95,194.15,2570
1920,2401,2023-05-26 21:14:00+00:00,194.17,194.17,194.06,194.06,853
1921,3037,2023-05-26 21:15:00+00:00,194.08,194.09,193.89,193.89,7821
1922,3038,2023-05-26 21:16:00+00:00,193.98,194,193.88,193.88,11434
1923,3039,2023-05-26 21:17:00+00:00,193.91,193.98,193.86,193.94,1716
1924,3040,2023-05-26 21:18:00+00:00,193.94,193.95,193.86,193.95,3996
1925,3041,2023-05-26 21:19:00+00:00,193.96,193.98,193.9,193.98,1900
1926,3042,2023-05-26 21:20:00+00:00,193.9,194,193.9,193.98,5014
1927,3043,2023-05-26 21:21:00+00:00,193.99,194,193.92,193.92,1174
1928,3044,2023-05-26 21:22:00+00:00,193.93,193.98,193.93,193.96,550
1929,3045,2023-05-26 21:23:00+00:00,193.96,193.96,193.96,193.96,500
1930,3046,2023-05-26 21:24:00+00:00,193.96,194,193.93,194,2890
1931,3047,2023-05-26 21:25:00+00:00,194.02,194.15,194,194.08,2473
1932,3048,2023-05-26 21:26:00+00:00,194.05,194.08,194.01,194.05,3328
1933,3049,2023-05-26 21:27:00+00:00,194.05,194.05,194,194.03,4238
1934,3050,2023-05-26 21:28:00+00:00,194.04,194.05,194,194.02,3089
1935,3051,2023-05-26 21:29:00+00:00,194.01,194.04,194,194,3248
1936,3052,2023-05-26 21:30:00+00:00,193.97,194.03,193.95,194.03,5047
1937,3053,2023-05-26 21:31:00+00:00,194.02,194.04,194.02,194.04,700
1938,3054,2023-05-26 21:32:00+00:00,194.02,194.05,194.02,194.05,1605
1939,3055,2023-05-26 21:33:00+00:00,194.03,194.11,194.03,194.11,5524
1940,3056,2023-05-26 21:34:00+00:00,194.12,194.15,194.12,194.13,1978
1941,3057,2023-05-26 21:35:00+00:00,194.15,194.15,194.13,194.13,2901
1942,3058,2023-05-26 21:36:00+00:00,194.12,194.12,194.05,194.07,4198
1943,3059,2023-05-26 21:37:00+00:00,194.07,194.07,194.01,194.01,4866
1944,3060,2023-05-26 21:38:00+00:00,194.03,194.03,193.99,194,2699
1945,3061,2023-05-26 21:39:00+00:00,194,194,193.98,193.98,1098
1946,3062,2023-05-26 21:40:00+00:00,194,194,193.95,193.95,3419
1947,3063,2023-05-26 21:41:00+00:00,193.95,193.99,193.95,193.99,3849
1948,3064,2023-05-26 21:42:00+00:00,193.99,194.1,193.99,194.1,9739
1949,3065,2023-05-26 21:43:00+00:00,194.14,194.21,194.07,194.21,6173
1950,3066,2023-05-26 21:44:00+00:00,194.25,194.3,194.19,194.2,7758
1951,3067,2023-05-26 21:45:00+00:00,194.22,194.3,194.19,194.3,4778
1952,3068,2023-05-26 21:46:00+00:00,194.3,194.33,194.21,194.25,4622
1953,3069,2023-05-26 21:47:00+00:00,194.37,194.37,194.22,194.25,3047
1954,3070,2023-05-26 21:48:00+00:00,194.22,194.22,194.04,194.04,7518
1955,3071,2023-05-26 21:49:00+00:00,194.04,194.16,194.04,194.06,1250
1956,3072,2023-05-26 21:50:00+00:00,194.14,194.15,194.05,194.05,566
1957,3073,2023-05-26 21:51:00+00:00,194.05,194.06,194.04,194.04,853
1958,3074,2023-05-26 21:52:00+00:00,194.04,194.05,194,194.05,4810
1959,3075,2023-05-26 21:53:00+00:00,194.05,194.05,194.02,194.04,2234
1960,3076,2023-05-26 21:54:00+00:00,194.04,194.04,193.97,193.97,4802
1961,3077,2023-05-26 21:55:00+00:00,193.94,193.98,193.93,193.94,3160
1962,3078,2023-05-26 21:56:00+00:00,193.97,193.97,193.93,193.94,3290
1963,3079,2023-05-26 21:57:00+00:00,193.92,193.99,193.92,193.99,999
1964,3080,2023-05-26 21:58:00+00:00,193.96,193.96,193.94,193.95,1893
1965,3081,2023-05-26 21:59:00+00:00,193.98,193.98,193.98,193.98,100
1966,3082,2023-05-26 22:00:00+00:00,194,194.05,194,194.04,4197
1967,3083,2023-05-26 22:01:00+00:00,194.04,194.04,193.98,193.98,3500
1968,3084,2023-05-26 22:02:00+00:00,194.04,194.04,194,194.01,2328
1969,3085,2023-05-26 22:03:00+00:00,194.03,194.03,194,194,994
1970,3086,2023-05-26 22:04:00+00:00,194,194.05,194,194.05,1083
1971,3087,2023-05-26 22:05:00+00:00,194.02,194.03,194.02,194.03,1231
1972,3088,2023-05-26 22:06:00+00:00,194.01,194.03,194.01,194.01,3863
1973,3089,2023-05-26 22:07:00+00:00,194.03,194.04,194.03,194.04,1300
1974,3090,2023-05-26 22:08:00+00:00,194.02,194.03,193.94,194.03,4124
1975,3091,2023-05-26 22:09:00+00:00,193.95,194,193.95,194,2000
1976,3092,2023-05-26 22:10:00+00:00,194,194,193.96,193.96,3590
1977,3093,2023-05-26 22:11:00+00:00,193.97,194.01,193.97,193.99,6159
1978,3094,2023-05-26 22:12:00+00:00,193.97,193.99,193.97,193.97,4477
1979,3095,2023-05-26 22:13:00+00:00,193.97,194,193.97,194,3776
1980,3096,2023-05-26 22:14:00+00:00,194.04,194.04,193.98,194,3092
1981,3097,2023-05-26 22:15:00+00:00,194,194.03,193.98,194.03,1083
1982,3098,2023-05-26 22:16:00+00:00,194,194,193.94,193.95,2658
1983,3099,2023-05-26 22:17:00+00:00,193.95,193.97,193.94,193.94,4867
1984,3100,2023-05-26 22:18:00+00:00,193.96,193.96,193.94,193.94,1300
1985,3101,2023-05-26 22:19:00+00:00,193.96,193.96,193.96,193.96,100
1986,3102,2023-05-26 22:20:00+00:00,193.95,193.96,193.95,193.95,3500
1987,3103,2023-05-26 22:21:00+00:00,193.95,193.96,193.95,193.95,800
